Code smell,sources
Lookup without supporting indexes,S69
Too many aggregation stages,S125
Map-reduce for projection,"S80, S125"
Manual backups,S62
No backup budget,S4
Replicas as backup,"S114, S116"
Immortal cursors,S176
No dependency injector,S127
Testing only CRUD operations,S125
Testing queries on the entire ad-hoc big data lake,S4
The single-person bridge,S39
Querying too much data,"S4, S27, S56"
Multiple schemas in a file,S127
Repeated immutable data,S4
"Using a document for ""_id""",S171
Flat raw data,"S4, S39"
Storage of easily calculated values,"S4, S56"
Inconsistent attribute structure,"S4, S18, S23, S39, S69"
Data oriented instead of application oriented,"S3, S4, S69, S90, S114, S116, S117, S9, S70, S119, S165, S56"
Too many collections,"S6, S8, S18, S21, S23, S24, S25, S33, S149, S9, S35"
Bloated documents,"S14, S18, S20, S21, S23, S24, S25, S30, S39, S56, S66, S69, S9, S16, S35, S62, S83"
Unbound arrays,"S8, S14, S15, S20, S21, S24, S25, S28, S32, S39, S69, S70, S74, S146, S147, S148, S9, S10, S11, S35, S171"
Index intersection rather than compound index,S83
Prefix index of compound indexes,S83
"Non-ESR compound indexes (Equality, Sort, Range)","S69, S111"
Abusive use of indexes,"S4, S14, S18, S20, S21, S23, S24, S25, S36, S56, S65, S83, S96, S117, S35, S47, S58, S62, S140, S171, S176"
Bias toward access patterns,S90
Using $ prefixed fields,S141
Human-readable values,"S4, S56"
Too long attribute names,"S56, S66"
Too long document keys,S4
Large WTC (WiredTiger Cache),S37
"Multiple ""mongod"" instances",S37
Running MongoDB in a shared environnement ,S56
Unlimited mongos taskExecutor in a container,S76
Using fast writes,S69
Large read-ahead,"S45, S50"
Using GridFS for small binary data,"S171, S56"
Running MongoDB on 32-bit systems,"S53, S56, S72, S84"
Avoid $Where,S56
Confusing null and undefined,S69
Large skips for pagination,S176
No $elemMatch to match an entire array,S131
Single update/insert for batches,S69
Sorted monkeys,S39
Using $limit without $sort,S69
"Using $map, $reduce and $filter with array fields",S125
Using limit and skip for pagination,S43
Negation in queries,"S83, S62"
Leading wildcard searches on indexed columns,"S83, S96, S62"
Uncovered queries,"S69, S80, S111, S115"
Case-insensitive queries without matching indexes,"S31, S21, S24, S25, S35, S96"
Storage of empty values,S4
Use of relational collections,S42
Relying on transactions,"S133, S154"
Separating data accessed together,"S21, S24, S25, S34, S43, S144, S7, S13, S35, S63, S70, S87, S117, S130, S133, S140, S149, S151, S171"
Forgetting to tie down MongoDB's attack surface,S69
No input sanitizing,S142
No security patches,S59
Not using LDAP for passwords rotations,S60
Using basic passwords,S55
Using default Mongod ports,S60
Using unofficial packages,S59
Improper user credential storage,"S60, S59"
No database access control,"S62, S126"
Unencrypted communication,"S60, S126"
Unencrypted data,"S59, S126"
No database user policy,"S114, S116, S126"
Server without authentication,"S69, S60, S126"
Too much network exposure,"S60, S114, S116, S126"
Low-cardinality shard key,S98
Scatter-gather queries,S98
Unshardable collection,"S18, S23"
Monotonically increasing shard key,"S19, S51"
Premature sharding,"S114, S116, S4"
Working set exceeds memory,"S45, S63, S72, S83, S73, S140"
